Date,Temp_C,Humidity_pct,Precipitation_mm
2020-03-01,30.53,58.56,0.0
2020-03-02,30.66,55.82,0.03
2020-03-03,30.97,50.04,0.0
2020-03-04,30.45,56.2,0.0
2020-03-05,30.47,57.43,0.01
2020-03-06,29.77,58.21,0.0
2020-03-07,30.96,57.39,0.0
2020-03-08,31.26,57.3,0.0
2020-03-09,31.29,60.81,0.08
2020-03-10,31.24,62.22,1.82
2020-03-11,30.23,61.5,0.06
2020-03-12,31.3,56.51,0.01
2020-03-13,31.02,59.96,0.0
2020-03-14,30.74,56.67,0.0
2020-03-15,31.13,55.03,0.0
2020-03-16,31.28,52.02,0.0
2020-03-17,31.16,52.05,0.0
2020-03-18,30.59,54.68,0.0
2020-03-19,30.46,56.99,0.03
2020-03-20,29.85,56.5,0.05
2020-03-21,30.0,59.61,1.15
2020-03-22,30.32,60.11,0.03
2020-03-23,30.13,60.37,0.68
2020-03-24,30.33,57.17,0.0
2020-03-25,30.68,57.78,0.0
2020-03-26,30.59,59.06,0.0
2020-03-27,30.8,58.42,0.0
2020-03-28,30.69,59.54,0.01
2020-03-29,30.76,56.03,0.0
2020-03-30,31.15,57.67,0.0
2020-03-31,31.25,59.58,0.04
