Date,Temp_C,Humidity_pct,Precipitation_mm,Soil_Moisture_pct,Pump_Action,MLP_Predicted_Rain,Hybrid_Decision_min
2026-01-01,23.13,80.97,0.0,64.52,0,0.7690416333277403,9.23
2026-01-02,23.36,78.29,0.0,63.99,0,0.12742655296335764,9.24
2026-01-03,22.84,76.85,0.0,63.45,0,0.0,9.25
2026-01-04,23.17,79.61,0.0,62.95,0,0.38586513008419426,9.26
2026-01-05,25.31,83.11,0.01,62.46,0,3.0554581523114672,0.0
2026-01-06,24.34,84.75,0.18,62.38,0,2.825678015815029,0.0
2026-01-07,23.9,77.09,0.0,61.82,0,0.16814508135212797,9.28
2026-01-08,22.68,78.06,0.0,61.3,0,0.0,9.28
2026-01-09,21.04,73.73,0.0,60.76,0,0.0,9.29
2026-01-10,21.62,78.55,0.0,60.27,0,0.0,9.3
2026-01-11,22.43,79.67,0.06,59.79,0,0.0,9.3
2026-01-12,24.55,79.62,0.01,59.25,0,1.4246854447406823,9.14
2026-01-13,24.89,81.17,0.0,58.74,0,2.1508036598124676,0.0
2026-01-14,24.5,82.44,0.0,58.26,0,2.2439377451725964,0.0
2026-01-15,24.66,82.5,0.0,57.77,0,2.382257796998621,0.0
2026-01-16,24.54,82.1,0.0,57.29,0,2.1706606212192776,0.0
2026-01-17,24.1,81.77,0.0,56.8,0,1.7401496967537236,9.06
2026-01-18,24.42,81.97,0.0,56.31,0,2.041095634075572,0.0
2026-01-19,24.14,80.23,0.0,55.8,0,1.302285067753078,9.16
2026-01-20,23.68,77.97,0.0,55.26,0,0.27038457143138245,9.32
2026-01-21,23.66,70.68,0.0,54.59,0,0.0,9.33
2026-01-22,23.81,73.43,0.04,53.97,0,0.0,9.33
2026-01-23,23.93,72.57,0.05,53.33,0,0.0,9.33
2026-01-24,23.95,75.58,0.0,52.74,0,0.0,9.33
2026-01-25,24.13,74.83,0.0,52.13,0,0.0,9.32
2026-01-26,23.97,77.92,0.0,51.58,0,0.47285777667748446,9.3
2026-01-27,24.13,76.48,0.0,51.01,0,0.1532937686834795,9.31
2026-01-28,24.4,76.34,0.0,50.42,0,0.31400399852775146,9.3
2026-01-29,24.75,75.02,0.0,49.8,0,0.16457063601741,9.3
2026-01-30,24.05,80.11,0.0,49.29,0,1.198275311675669,9.18
2026-01-31,24.54,76.22,0.0,48.7,0,0.38243820081021346,9.28
2026-02-01,24.66,66.55,0.0,47.93,0,0.0,9.27
2026-02-02,25.33,67.37,0.01,47.16,0,0.0,9.26
2026-02-03,26.15,73.34,0.96,48.4,0,0.6980802502695895,9.27
2026-02-04,26.73,72.73,0.22,48.12,0,0.9461298017575823,9.23
2026-02-05,26.53,78.12,0.08,47.52,0,2.455073186030479,0.0
2026-02-06,26.04,78.71,0.01,46.94,0,2.266551012338596,0.0
2026-02-07,25.83,77.56,0.01,46.34,0,1.7595356403319984,9.06
2026-02-08,25.68,72.16,0.0,45.64,0,0.0,9.23
2026-02-09,25.64,66.15,0.0,64.84,1,0.0,9.23
2026-02-10,27.09,66.78,0.01,64.01,0,0.0,9.24
2026-02-11,27.31,71.69,0.08,63.26,0,1.0590586538994031,9.21
2026-02-12,28.11,72.36,1.09,64.68,0,1.8761230113922764,9.03
2026-02-13,28.46,69.88,0.27,64.41,0,1.3621779948318116,9.15
2026-02-14,28.56,67.64,0.01,63.54,0,0.7341093532261778,9.25
2026-02-15,28.1,67.36,0.0,62.69,0,0.2973704955891457,9.26
2026-02-16,28.69,69.73,0.0,61.86,0,1.489419510137801,9.12
2026-02-17,29.44,64.21,0.0,60.9,0,0.32346629954859557,9.29
2026-02-18,28.24,62.21,0.0,59.93,0,0.0,9.3
2026-02-19,28.71,61.22,0.0,58.93,0,0.0,9.31
2026-02-20,28.8,62.07,0.07,57.95,0,0.0,9.32
2026-02-21,28.14,63.75,0.42,57.86,0,0.0,9.32
2026-02-22,27.95,68.29,0.29,57.61,0,0.4758843895994596,9.3
2026-02-23,28.41,66.31,0.0,56.72,0,0.20245399020779536,9.33
2026-02-24,28.42,65.05,0.14,56.09,0,0.0,9.33
2026-02-25,28.41,68.17,0.01,55.24,0,0.786929573426107,9.26
2026-02-26,27.18,81.69,3.68,62.05,0,4.027589387126706,0.0
2026-02-27,26.54,86.91,20.73,76.61,0,5.13318232778792,2.11
2026-02-28,26.6,81.79,0.02,76.07,0,3.6226429766344967,2.13
2026-03-01,26.47,80.56,0.65,76.82,0,3.151367109244898,2.11
2026-03-02,26.89,79.28,0.17,76.57,0,3.0777117965336034,2.11
2026-03-03,26.29,84.12,0.97,78.02,0,4.09787469640658,2.07
2026-03-04,27.35,78.86,1.47,80.35,0,3.295366864916299,2.0
2026-03-05,27.15,77.93,5.69,91.11,0,2.862698202787558,1.75
2026-03-06,26.78,80.11,10.21,98.0,0,3.247322480713601,1.67
2026-03-07,27.1,77.03,3.15,98.0,0,2.5517292375728102,1.67
2026-03-08,27.59,68.9,0.02,97.19,0,0.39462988792309833,1.68
2026-03-09,27.53,72.57,5.73,98.0,0,1.5023797860938926,1.67
2026-03-10,26.97,77.91,4.98,98.0,0,2.721519733224736,1.67
2026-03-11,26.9,73.93,1.31,98.0,0,1.4520979071341076,1.67
2026-03-12,27.0,69.64,0.16,97.54,0,0.17984918725022397,1.67
2026-03-13,26.95,66.91,0.08,96.71,0,0.0,1.68
2026-03-14,27.42,68.47,2.3,98.0,0,0.13062210463157237,1.67
2026-03-15,27.03,72.46,3.86,98.0,0,1.0887343671332403,1.67
2026-03-16,26.87,74.39,1.8,98.0,0,1.573900852496285,1.67
